-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!          O3COL!           JO1D!           JNO2!           HCHO!            XOH!           XHO2!           C2H6!           C3H8!         IC4H10!         NC4H10!           C2H2!           C3H6!           C2H4!            CH4!
     2.5367e+02!     5.5300e+01!    -7.7730e+01!     5.8740e+01!     9.8031e-04!     9.5300e+02!     3.1191e-08!     8.7690e-12!     3.1100e-11!     1.6582e-07!     1.0000e+00!     4.4850e+02!     6.5471e-06!     1.3487e-02!     4.9801e-10!     4.6517e-01!     1.4170e+00!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5347e+02!     5.5300e+01!    -7.7730e+01!     5.8760e+01!     9.3248e-04!     9.5300e+02!     3.0988e-08!     1.0496e-11!     3.0718e-11!     1.6532e-07!     1.0000e+00!     4.4850e+02!     6.0841e-06!     1.3027e-02!     6.2350e-10!     7.0036e-01!     1.3001e+00!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5320e+02!     5.5300e+01!    -7.7730e+01!     5.8781e+01!     9.0052e-04!     9.5300e+02!     3.0866e-08!     1.1727e-11!     2.9194e-11!     1.6650e-07!     1.0000e+00!     4.4850e+02!     5.0160e-06!     1.1220e-02!     4.3896e-10!     5.8275e-01!     1.2729e+00!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5338e+02!     5.5300e+01!    -7.7730e+01!     5.8802e+01!     9.0800e-04!     9.5300e+02!     3.0790e-08!     1.1007e-11!     2.9969e-11!     1.6810e-07!     1.0000e+00!     4.4850e+02!     4.3233e-06!     1.1339e-02!     4.1638e-10!     4.7183e-01!     1.1795e+00!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5314e+02!     5.5300e+01!    -7.7730e+01!     5.8823e+01!     9.0546e-04!     9.5300e+02!     3.0553e-08!     9.4625e-12!     2.8401e-11!     1.6855e-07!     1.0000e+00!     4.4850e+02!     3.3443e-06!     1.0385e-02!     4.1215e-10!     5.0735e-01!     1.1267e+00!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5329e+02!     5.5300e+01!    -7.7730e+01!     5.8844e+01!     9.0930e-04!     9.5300e+02!     3.0518e-08!     9.1407e-12!     2.8583e-11!     1.6837e-07!     1.0000e+00!     4.4850e+02!     2.3185e-06!     8.4416e-03!     3.9153e-10!     3.0491e-01!     9.8390e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5339e+02!     5.5300e+01!    -7.7730e+01!     5.8865e+01!     9.1142e-04!     9.5300e+02!     3.0318e-08!     7.7974e-12!     2.9829e-11!     1.6916e-07!     1.0000e+00!     4.4850e+02!     1.4972e-06!     6.5509e-03!     4.5241e-10!     6.6652e-02!     9.2223e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5315e+02!     5.5300e+01!    -7.7730e+01!     5.8885e+01!     8.9888e-04!     9.5300e+02!     3.0771e-08!     7.2865e-12!     3.4946e-11!     1.7015e-07!     1.0000e+00!     4.4850e+02!     8.9504e-07!     4.4316e-03!     3.3896e-10!     4.6420e-01!     7.4249e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5300e+02!     5.5300e+01!    -7.7730e+01!     5.8906e+01!     9.2355e-04!     9.5300e+02!     3.0729e-08!     4.8857e-12!     2.1870e-11!     1.6896e-07!     1.0000e+00!     4.4850e+02!     4.3667e-07!     2.3269e-03!     2.9393e-10!     3.3677e-01!     6.6993e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5292e+02!     5.5300e+01!    -7.7730e+01!     5.8927e+01!     9.2559e-04!     9.5300e+02!     3.0158e-08!     4.4286e-12!     3.5106e-11!     1.6886e-07!     1.0000e+00!     4.4850e+02!     1.0738e-07!     8.9546e-04!     2.8894e-10!     1.9560e-01!     5.5197e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5203e+02!     5.5300e+01!    -7.7730e+01!     5.8948e+01!     8.6436e-04!     9.5300e+02!     2.9493e-08!     2.0638e-12!     3.6837e-11!     1.7081e-07!     1.0000e+00!     4.4850e+02!     3.8528e-09!     1.6324e-04!     1.8544e-10!     1.1013e-01!     3.5295e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5127e+02!     5.5300e+01!    -7.7730e+01!     5.8969e+01!     8.1941e-04!     9.5300e+02!     2.9424e-08!     1.4229e-12!     4.1126e-11!     1.7112e-07!     1.0000e+00!     4.4850e+02!    -3.5180e-08!     2.9016e-06!     1.9892e-10!     1.8986e-01!     2.6859e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5090e+02!     5.5300e+01!    -7.7730e+01!     5.8990e+01!     8.0248e-04!     9.5300e+02!     2.9535e-08!     1.3731e-12!     3.0512e-11!     1.7024e-07!     1.0000e+00!     4.4850e+02!    -8.5355e-10!     0.0000e+00!     1.5002e-10!    -9.4771e-03!     2.1234e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
