-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!           JO1D!            XOH!           C5H8!           C2H6!           C3H8!           C2H4!         ALBEDO!          SAREA!          XREAC!          MAGIC!
     2.9935e+02!     4.9700e+00!     1.1783e+02!     1.1412e+02!     2.0043e+00!     1.0130e+03!     9.7394e-09!     1.0818e-10!     1.0818e-10!     1.3440e-07!     1.0000e+00!     3.0837e-05!     3.2438e+06!     2.2939e-09!     4.8666e-10!     2.9270e-11!     1.2135e-10!     1.0000e-01!     7.3000e-05!    -2.4951e+01!     2.0000e+10!
     2.9519e+02!     4.9700e+00!     1.1783e+02!     1.1550e+02!     2.1943e+00!     1.0130e+03!     9.4945e-09!     1.7499e-11!     1.7499e-11!     1.3623e-07!     1.0000e+00!     0.0000e+00!     5.1600e+05!     1.1093e-09!     5.7783e-10!     4.3740e-11!     7.2150e-11!     1.0000e-01!     7.3000e-05!    -8.6588e+00!     2.0000e+10!
     2.9518e+02!     4.9700e+00!     1.1783e+02!     1.1551e+02!     2.1935e+00!     1.0130e+03!     8.1541e-09!     1.5747e-11!     1.5747e-11!     1.3623e-07!     1.0000e+00!     0.0000e+00!     3.0202e+05!     1.1093e-09!     5.7783e-10!     4.3740e-11!     7.2150e-11!     1.0000e-01!     7.3000e-05!    -9.3064e+00!     2.0000e+10!
     2.9512e+02!     4.9700e+00!     1.1783e+02!     1.1558e+02!     2.0644e+00!     1.0130e+03!     1.6617e-08!     2.2806e-11!     2.2806e-11!     1.3424e-07!     1.0000e+00!     0.0000e+00!     3.5920e+05!     1.5916e-09!     6.0127e-10!     5.8450e-11!     8.8900e-11!     1.0000e-01!     7.3000e-05!    -1.2335e+01!     2.0000e+10!
     2.9520e+02!     4.9700e+00!     1.1783e+02!     1.1559e+02!     2.0743e+00!     1.0130e+03!     1.4428e-08!     2.2906e-11!     2.2906e-11!     1.3543e-07!     1.0000e+00!     0.0000e+00!     6.3500e+05!     1.5916e-09!     6.0127e-10!     5.8450e-11!     8.8900e-11!     1.0000e-01!     7.3000e-05!    -1.0871e+01!     2.0000e+10!
     2.9457e+02!     4.9700e+00!     1.1783e+02!     1.1562e+02!     2.0944e+00!     1.0130e+03!     2.6724e-09!     5.9184e-11!     5.9184e-11!     1.5194e-07!     1.0000e+00!     0.0000e+00!     5.4500e+05!     3.3139e-10!     5.9364e-10!     5.7130e-11!     1.0285e-10!     1.0000e-01!     7.3000e-05!    -9.4434e+00!     2.0000e+10!
     2.9448e+02!     4.9700e+00!     1.1783e+02!     1.1563e+02!     2.0830e+00!     1.0130e+03!     1.5087e-09!     2.8654e-11!     2.8654e-11!     1.5453e-07!     1.0000e+00!     0.0000e+00!     5.4500e+05!     3.3139e-10!     5.9364e-10!     5.7130e-11!     1.0285e-10!     1.0000e-01!     7.3000e-05!    -9.0416e+00!     2.0000e+10!
     2.9451e+02!     4.9700e+00!     1.1783e+02!     1.1576e+02!     2.2038e+00!     1.0130e+03!     2.3183e-08!     1.4649e-11!     1.4649e-11!     2.3421e-07!     1.0000e+00!     0.0000e+00!     2.4806e+04!     5.0162e-10!     6.2052e-10!     6.7750e-11!     1.0599e-10!     1.0000e-01!     7.3000e-05!    -9.8049e+00!     2.0000e+10!
     2.9405e+02!     4.9700e+00!     1.1783e+02!     1.1580e+02!     2.1792e+00!     1.0130e+03!     2.7363e-09!     2.9537e-11!     2.9537e-11!     1.5235e-07!     1.0000e+00!     0.0000e+00!     5.1338e+05!     2.8608e-10!     5.8519e-10!     6.2670e-11!     8.7660e-11!     1.0000e-01!     7.3000e-05!    -8.0271e+00!     2.0000e+10!
     2.9403e+02!     4.9700e+00!     1.1783e+02!     1.1581e+02!     2.1769e+00!     1.0130e+03!     4.6708e-09!     2.5670e-11!     2.5670e-11!     1.4350e-07!     1.0000e+00!     0.0000e+00!     7.7949e+05!     2.8608e-10!     5.8519e-10!     6.2670e-11!     8.7660e-11!     1.0000e-01!     7.3000e-05!    -8.0669e+00!     2.0000e+10!
     2.9407e+02!     4.9700e+00!     1.1783e+02!     1.1583e+02!     2.1757e+00!     1.0130e+03!     6.8284e-09!     2.3898e-11!     2.3898e-11!     1.4247e-07!     1.0000e+00!     0.0000e+00!     4.6210e+05!     3.6995e-10!     5.7471e-10!     5.3290e-11!     8.2710e-11!     1.0000e-01!     7.3000e-05!    -7.5859e+00!     2.0000e+10!
     2.9406e+02!     4.9700e+00!     1.1783e+02!     1.1584e+02!     2.1738e+00!     1.0130e+03!     7.7123e-09!     2.4900e-11!     2.4900e-11!     1.4669e-07!     1.0000e+00!     0.0000e+00!     1.7000e+06!     3.6995e-10!     5.7471e-10!     5.3290e-11!     8.2710e-11!     1.0000e-01!     7.3000e-05!    -8.2251e+00!     2.0000e+10!
     2.9386e+02!     4.9700e+00!     1.1783e+02!     1.1588e+02!     2.1524e+00!     1.0130e+03!     9.4768e-09!     1.9349e-11!     1.9349e-11!     1.4555e-07!     1.0000e+00!     0.0000e+00!     1.3568e+06!     2.2031e-10!     6.0166e-10!     6.0180e-11!     7.9550e-11!     1.0000e-01!     7.3000e-05!    -8.4784e+00!     2.0000e+10!
     2.9388e+02!     4.9700e+00!     1.1783e+02!     1.1589e+02!     2.1551e+00!     1.0130e+03!     9.7737e-09!     1.7248e-11!     1.7248e-11!     1.4441e-07!     1.0000e+00!     0.0000e+00!     1.8468e+05!     2.2031e-10!     6.0166e-10!     6.0180e-11!     7.9550e-11!     1.0000e-01!     7.3000e-05!    -7.8240e+00!     2.0000e+10!
     2.9363e+02!     4.9700e+00!     1.1783e+02!     1.1592e+02!     2.0690e+00!     1.0130e+03!     9.7612e-09!     1.9051e-11!     1.9051e-11!     1.4970e-07!     1.0000e+00!     2.9466e-08!     6.8600e+05!     1.1236e-10!     5.7979e-10!     5.6910e-11!     7.8300e-11!     1.0000e-01!     7.3000e-05!    -8.2681e+00!     2.0000e+10!
     2.9505e+02!     4.9700e+00!     1.1783e+02!     1.1596e+02!     1.8938e+00!     1.0130e+03!     3.1023e-09!     5.2329e-11!     5.2329e-11!     1.5627e-07!     1.0000e+00!     1.4186e-06!     3.5700e+06!     1.8325e-10!     5.7550e-10!     4.7810e-11!     6.6980e-11!     1.0000e-01!     7.3000e-05!    -7.6363e+00!     2.0000e+10!
     2.9549e+02!     4.9700e+00!     1.1783e+02!     1.1597e+02!     1.9457e+00!     1.0130e+03!     8.8073e-09!     2.9441e-11!     2.9441e-11!     1.4983e-07!     1.0000e+00!     2.2915e-06!     2.5461e+06!     1.8325e-10!     5.7550e-10!     4.7810e-11!     6.6980e-11!     1.0000e-01!     7.3000e-05!    -7.0431e+00!     2.0000e+10!
     2.9633e+02!     4.9700e+00!     1.1783e+02!     1.1601e+02!     2.0431e+00!     1.0130e+03!     1.3495e-08!     2.8653e-11!     2.8653e-11!     1.4315e-07!     1.0000e+00!     9.8406e-06!     5.4704e+06!     3.4224e-10!     5.6671e-10!     4.9550e-11!     8.3570e-11!     1.0000e-01!     7.3000e-05!    -1.0906e+01!     2.0000e+10!
     2.9660e+02!     4.9700e+00!     1.1783e+02!     1.1601e+02!     2.0768e+00!     1.0130e+03!     1.4554e-08!     3.7061e-11!     3.7061e-11!     1.3963e-07!     1.0000e+00!     1.1303e-05!     5.3400e+06!     3.4224e-10!     5.6671e-10!     4.9550e-11!     8.3570e-11!     1.0000e-01!     7.3000e-05!    -1.1292e+01!     2.0000e+10!
     2.9908e+02!     4.9700e+00!     1.1783e+02!     1.1605e+02!     2.0122e+00!     1.0130e+03!     1.5341e-08!     3.3450e-11!     3.3450e-11!     1.3433e-07!     1.0000e+00!     2.0511e-05!     2.5271e+06!     1.8959e-09!     5.4546e-10!     4.3000e-11!     9.3180e-11!     1.0000e-01!     7.3000e-05!    -1.6740e+01!     2.0000e+10!
     2.9808e+02!     4.9700e+00!     1.1783e+02!     1.1711e+02!     1.8296e+00!     1.0130e+03!     1.1727e-08!     2.7245e-11!     2.7245e-11!     1.0272e-07!     1.0000e+00!     2.5185e-05!     1.9102e+06!     1.0544e-09!     4.6488e-10!     1.1668e-10!     4.1280e-11!     1.0000e-01!     7.3000e-05!    -1.1168e+01!     2.0000e+10!
     2.9899e+02!     4.9700e+00!     1.1783e+02!     1.1715e+02!     2.0090e+00!     1.0130e+03!     1.0710e-08!     2.9649e-11!     2.9649e-11!     9.8559e-08!     1.0000e+00!     3.6852e-05!     4.1463e+06!     2.0100e-09!     4.9156e-10!     1.2012e-10!     7.0550e-11!     1.0000e-01!     7.3000e-05!    -1.3062e+01!     2.0000e+10!
     2.9897e+02!     4.9700e+00!     1.1783e+02!     1.1716e+02!     2.0069e+00!     1.0130e+03!     1.0496e-08!     2.5844e-11!     2.5844e-11!     9.9160e-08!     1.0000e+00!     3.9313e-05!     3.3965e+06!     2.0100e-09!     4.9156e-10!     1.2012e-10!     7.0550e-11!     1.0000e-01!     7.3000e-05!    -2.0329e+01!     2.0000e+10!
     2.9857e+02!     4.9700e+00!     1.1783e+02!     1.1719e+02!     2.1373e+00!     1.0130e+03!     1.0029e-08!     2.5195e-11!     2.5195e-11!     9.8884e-08!     1.0000e+00!     2.5247e-05!     4.6497e+05!     4.9052e-09!     5.1725e-10!     1.2828e-10!     4.9570e-11!     1.0000e-01!     7.3000e-05!    -2.4726e+01!     2.0000e+10!
     2.9873e+02!     4.9700e+00!     1.1783e+02!     1.1719e+02!     2.1578e+00!     1.0130e+03!     9.4666e-09!     2.3198e-11!     2.3198e-11!     1.0016e-07!     1.0000e+00!     2.3139e-05!     9.2360e+05!     4.9052e-09!     5.1725e-10!     1.2828e-10!     4.9570e-11!     1.0000e-01!     7.3000e-05!    -2.4633e+01!     2.0000e+10!
     2.9643e+02!     4.9700e+00!     1.1783e+02!     1.1732e+02!     2.1704e+00!     1.0130e+03!     7.8108e-09!     3.2870e-11!     3.2870e-11!     9.9485e-08!     1.0000e+00!     3.2771e-06!     5.6563e+04!     5.0588e-09!     4.3124e-10!     4.4390e-10!     3.0900e-11!     1.0000e-01!     7.3000e-05!    -2.4837e+01!     2.0000e+10!
     2.9634e+02!     4.9700e+00!     1.1783e+02!     1.1733e+02!     2.1581e+00!     1.0130e+03!     9.5326e-09!     5.0008e-11!     5.0008e-11!     1.0243e-07!     1.0000e+00!     3.2622e-06!     1.8200e+05!     5.0588e-09!     4.3124e-10!     4.4390e-10!     3.0900e-11!     1.0000e-01!     7.3000e-05!    -2.5825e+01!     2.0000e+10!
     2.9636e+02!     4.9700e+00!     1.1783e+02!     1.1736e+02!     2.2130e+00!     1.0130e+03!     6.6992e-09!     3.1198e-11!     3.1198e-11!     1.0199e-07!     1.0000e+00!     2.1155e-06!     3.8471e+05!     6.0934e-09!     5.0029e-10!     3.4630e-10!     5.4640e-11!     1.0000e-01!     7.3000e-05!    -2.5855e+01!     2.0000e+10!
     2.9639e+02!     4.9700e+00!     1.1783e+02!     1.1737e+02!     2.2178e+00!     1.0130e+03!     6.8927e-09!     2.8995e-11!     2.8995e-11!     9.9178e-08!     1.0000e+00!     1.5863e-06!     5.1711e+04!     6.0934e-09!     5.0029e-10!     3.4630e-10!     5.4640e-11!     1.0000e-01!     7.3000e-05!    -2.6787e+01!     2.0000e+10!
     2.9604e+02!     4.9700e+00!     1.1783e+02!     1.1794e+02!     2.1223e+00!     1.0130e+03!     2.6981e-09!     2.4718e-10!     2.4718e-10!     1.2705e-07!     1.0000e+00!     5.7804e-07!     1.0700e+06!     1.9114e-10!     5.8866e-10!     3.0086e-10!     2.4931e-10!     1.0000e-01!     7.3000e-05!    -8.5525e+00!     2.0000e+10!
     2.9675e+02!     4.9700e+00!     1.1783e+02!     1.1795e+02!     2.2141e+00!     1.0130e+03!     2.6702e-10!     2.9154e-10!     2.9154e-10!     1.3540e-07!     1.0000e+00!     9.4536e-07!     1.4216e+06!     1.9114e-10!     5.8866e-10!     3.0086e-10!     2.4931e-10!     1.0000e-01!     7.3000e-05!    -3.6746e+00!     2.0000e+10!
     2.9813e+02!     4.9700e+00!     1.1783e+02!     1.1799e+02!     2.0613e+00!     1.0130e+03!     1.2316e-09!     1.4793e-10!     1.4793e-10!     1.8017e-07!     1.0000e+00!     6.8547e-06!     2.0224e+06!     9.4087e-10!     6.2271e-10!     3.4001e-10!     2.6330e-10!     1.0000e-01!     7.3000e-05!    -1.0358e+01!     2.0000e+10!
     2.9665e+02!     4.9700e+00!     1.1783e+02!     1.1803e+02!     2.2006e+00!     1.0130e+03!     7.6964e-09!     6.5453e-11!     6.5453e-11!     1.2514e-07!     1.0000e+00!     9.6477e-06!     1.6585e+06!     8.4365e-10!     5.9771e-10!     3.6655e-10!     1.9942e-10!     1.0000e-01!     7.3000e-05!    -1.0493e+01!     2.0000e+10!
     2.9669e+02!     4.9700e+00!     1.1783e+02!     1.1803e+02!     2.2063e+00!     1.0130e+03!     7.4519e-09!     9.5446e-11!     9.5446e-11!     1.2504e-07!     1.0000e+00!     1.1633e-05!     9.1618e+05!     8.4365e-10!     5.9771e-10!     3.6655e-10!     1.9942e-10!     1.0000e-01!     7.3000e-05!    -9.8767e+00!     2.0000e+10!
     2.9750e+02!     4.9700e+00!     1.1783e+02!     1.1807e+02!     2.2128e+00!     1.0130e+03!     8.9733e-09!     4.2794e-11!     4.2794e-11!     1.2379e-07!     1.0000e+00!     1.6041e-05!     2.0551e+06!     1.0495e-09!     6.1655e-10!     3.2759e-10!     1.6775e-10!     1.0000e-01!     7.3000e-05!    -1.1059e+01!     2.0000e+10!
